indicator_id,indicator,domain,subdomain,category,subject,lens_text,reason_draft,source_citation,source_effect_size,can_calculate,pragmatic_method,article_numbers,excluded,methods_from_literature,potential_data_sources,notes,doubts,domains,lenses,excluded_reason,work_package,indicator_code
121,Access to libraries,Social Infrastructure,"Community, culture & leisure",Culture & Leisure,Libraries,Proximity,"Easy access to cultural facilities like libraries is a key component of urban convenience, allowing residents to satisfy their fundamental information and educational requirements.","Onnom et al., 2018, 'Development of a Liveable City Index (LCI) Using Multi Criteria Geospatial Modelling for Medium Class Cities in Developing Countries'; Liu et al., 2020, 'Using Multi-Source Data to Assess Livability in Hong Kong at the Community-Based Level: A Combined Subjective-Objective Approach'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",18,,['Analytic Hierarchy Process (AHP)'],OSM/ DENUE/IMIP,,,Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_libraries
134,Access to museums,Social Infrastructure,"Community, culture & leisure",Culture & Leisure,Museums,Quantity,"Museums provide important cultural infrastructure that supports social development, lifelong learning, and community social cohesion.","Lowe et al., 2015, 'Planning healthy, liveable and sustainable cities: how can indicators inform policy?'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",13,,"['Identification of measurable spatial indicators, how they can me calculated and monitored']",OSM/ DENUE/IMIP,,"ER: This can be part of a ""City amenities"" composite index",Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_museums
228,Access to religious buildings,Social Infrastructure,"Community, Culture & Leisure",Culture & Leisure,Religious buildings,Proximity,"Access to religious centres contributes to the amenity value of urban areas, providing social and cultural comfort that enhances human wellbeing.","Rehdanz and Maddison, 2008, 'Local environmental quality and life-satisfaction in Germany'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",20,,['Proximity analysis following digitization and Euclidean distance computation'],OSM/ DENUE/IMIP,,,Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_religious_buildings
340,Population density,Sociodemographics,City,Demographics,Population density,Density,"Excessive population density in fragile environments increases resource consumption and environmental stress, which can degrade the long-term liveability of a city.","Chen et al., 2020, 'Response of resources and environment carrying capacity under the evolution of land use structure in Chongqing Section of the Three Gorges Reservoir Area'; Dong et al., 2021, 'The coupling coordinated relationship between new-type urbanization, eco-environment and its driving Mechanism: A case of Guanzhong, China'","Urban liveability: β = -0.041 (p < 0.01), inverse association",,,3; 8; 19; 27,,"3: ['Entropy TOPSIS model', 'Tobit model']
8: ['Hierarchical Modelling using Analytic Hierarchy Process (AHP)']
19: ['machine learning is integrated into semantic image segmentation technique to extract green pixels from the street view images using the scene  parsing method; SVG', 'entropy index  (relative percentage of various land-use types)']
27: [GIS mapping]",INEGI Census,,,Sociodemographics,density,,WP01_ghsci_access_network,population_density
97,Access to health centres,Social Infrastructure,Health & Healthcare,Health & Social Services,Health centres,Proximity,Proximity to healthcare facilities is essential for maintaining urban life quality and ensures residents have timely access to medical services.,"McMichael, 2000, 'The urban environment and health in a world of increasing globalisation: issues for developing countries'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",19; 20,,"19: ['machine learning is integrated into semantic image segmentation technique to extract green pixels from the street view images using the scene  parsing method; SVG', 'entropy index  (relative percentage of various land-use types)']
20: ['Proximity analysis following digitization and Euclidean distance computation']",OSM/ DENUE/IMIP,I would make this distance to General Practitioner / local health centre,,Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_health_centres
101,Access to hospitals,Social Infrastructure,Health & Healthcare,Health & Social Services,Hospitals,Quantity; Presence,"The physical availability and accessibility of healthcare facilities, such as hospitals, are essential determinants of health within the urban liveability framework.","Mercer, 2017, 'Quality of Living Survey'; Economist Intelligence Unit (EIU), 2012, 'Quality of Life Index'","Liveability score: weighted indicator, no individual effect size reported",,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",8,,['Hierarchical Modelling using Analytic Hierarchy Process (AHP)'],OSM/ DENUE/IMIP,I would make this distance to hospital (as distinct from distance to GP),,Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_hospitals
170,Access to pharmacies,Social Infrastructure,Health & Healthcare,Health & Social Services,Pharmacies,Density,"Access to medical stores is identified by residents as a fundamental amenity for liveability, ensuring the availability of healthcare commodities across the city.","Chi et al., 2021, 'From Comparative and Statistical Assessments of Liveability and Health Conditions of Districts in Hong Kong towards Future City Development'; Suptelo & Sehida, 2020, 'Factors of Post-Industrial Transformations of Urban Sociogeosystems (Case Kharkiv)'",Amenity accessibility: association reported; no individual effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",5,,"['Supervised classification in Erdas Imagine Software.', 'regression']",OSM/ DENUE/IMIP,,,Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_pharmacies
127,Access to manufacturing district / centre,Economic Development,Economy,Industry; Employment,Manufacturing district / centre,Proximity,Manufacturing centres are sources of industrial hazards and pollution; restricting residential proximity ensures physical safety and protects wellbeing.,"Onnom et al., 2018, 'Development of a Liveable City Index (LCI) using multi criteria geospatial modelling for medium class cities in developing countries'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",20,,['Proximity analysis following digitization and Euclidean distance computation'],DENUE,"CH: we need to provide clear evidence/guidance about what this means (e.g. is proximity good because of employment opportunities, or bad because of exposure to air/noise pollution?)",ER: High relevance as Condesa haz manufacturing facilities.,Economic Development,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_manufacturing_district_centre
74,Walkability Index,Safety,Road Safety,Pedestrian Infrastructure,Walkability Index,Quality,Walking-friendly urban environments support safety and promote healthy lifestyles through human-oriented design.,"Skalicky & Čerpes, 2019, 'Comprehensive assessment methodology for liveable residential environment'",Association reported; no effect size provided.,,Part of GHSCI pipeline,23,,['Design Analysis'],,,ER: Could this one be part of the Walkability Index?; CH: Great idea --- maybe this row could stand in for the walkability index?,Safety,quality,,WP01_ghsci_access_network,walkability_index
91,Access to public green space,Built Environment,Green & Blue Infrastructure,Public Open Spaces,Public green space,Proximity,Source article not available for review.,Not reported.,Not reported.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",35,,35: [Intercept survey around UGS],OSM/ IMIP https://www.mexicali.gob.mx/sitioimip/geovisor/geovisor/?url=act-terr&access_token=,"Access: The green spaces that were considered were only the publicly accessible ones that consist of parks,_x000D_gardens, and recreation areas managed by the municipalities._x000D_• Priority was given to amenities (e.g., green spaces still with some public amenities: walking paths, seating areas,_x000D_shaded zones, etc.) to ensure the usability of the spaces and a proper relationship with the public.",,Built Environment,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_public_green_space
162,"Access to parks (local, neighbourhood, district, regional)",Built Environment,Green & Blue Infrastructure,Public Open Spaces,"Parks (local, neighbourhood, district, regional)",Proximity,Source article not available for review.,Not reported.,Not reported.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",19,,"['machine learning is integrated into semantic image segmentation technique to extract green pixels from the street view images using the scene  parsing method; SVG', 'entropy index  (relative percentage of various land-use types)']",OSM/ IMIP https://www.mexicali.gob.mx/sitioimip/geovisor/geovisor/?url=act-terr&access_token=,,"CH: Do you have the data to distinguish ""parks"" from ""public green space""?",Built Environment,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_parks_local_neighbourhood_district_regional
187,Access to public open space,Built Environment,Green & Blue Infrastructure,Public Open Spaces,Public open space,Accessibility,"Availability of open spaces provides urban residents with areas for comfort, enjoyment, and relaxation, directly contributing to their overall quality of life.","Zhan et al., 2018, 'Assessment and Determinants of Satisfaction with Urban Livability in China'; Paul & Sen, 2018, 'Livability Assessment within a Metropolis Based on the Impact of Integrated Urban Geographic Factors (IUGFs) on Clustering Urban Centers of Kolkata'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",18,,['Analytic Hierarchy Process (AHP)'],OSM/ IMIP https://www.mexicali.gob.mx/sitioimip/geovisor/geovisor/?url=act-terr&access_token=,,ER: Do we want to have public open spaces combined with parks?,Built Environment,proximity; accessibility; quantity; density; quality,,WP01_ghsci_access_network,access_to_public_open_space
69,Access to fire station,Safety,Personal Safety,Public Services,Fire station,Proximity,"Close proximity to fire stations ensures rapid emergency response times, which is essential for protecting residents from physical harm and property damage.","Liu et al., 2020, 'Using Multi-Source Data to Assess Livability in Hong Kong at the Community-Based Level: A Combined Subjective-Objective Approach'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",18,,['Analytic Hierarchy Process (AHP)'],"IMIP: https://www.mexicali.gob.mx/sitioimip/geovisor/geovisor/?url=act-terr&access_token=
INEGI: Marco Geoestadítico (SIP layer)",,"ER: Could this one be part of a composite index with distance to fire station (174)?  CH: Interesting idea --- I'm not sure ""distance to closest"" is the most interesting headline here, but rather access within threshold if we can support it with evidence.  If we can find citable evidence that you should be within XXX m of fire, police, hospital etc -- this could be a score for emergency services provision.  But distance alone may not be great --- imagine if you were 0m from all three, would you want to live there with sirens going off all the time?  Maybe not!  I don't think living next to these places is something we want to suggest is perfect, so much as access within a reasonable distance for when you need it",Safety,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_fire_station
174,Access to police station,Safety,Personal Safety,Public Services,Police station,Proximity,"Neighborhoods located near police stations experience enhanced security and stability, allowing residents to live without feeling threatened or harmed.","Fu et al., 2019, 'The Livable Urban Landscape: GIS and Remote Sensing Extracted Land Use Assessment for Urban Livability in Changchun Proper, China'; Liu et al., 2020, 'Using Multi-Source Data to Assess Livability in Hong Kong at the Community-Based Level: A Combined Subjective-Objective Approach'; Paul & Sen, 2018, 'Livability Assessment within a Metropolis Based on the Impact of Integrated Urban Geographic Factors (IUGFs) on Clustering Urban Centers of Kolkata'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",18;20;8,,"18: ['Analytic Hierarchy Process (AHP)']
20: ['Proximity analysis following digitization and Euclidean distance computation']
21: ['Kernel Density Estimation (KDE) to identify spatial clusters of walkability-related  features', 'Line Density Analysis to measure connectivity of pedestrian infrastructure. These  methods complement each other by capturing both the qualitative and quantitative aspects  of walkability']
8: ['Hierarchical Modelling using Analytic Hierarchy Process (AHP)']","IMIP: https://www.mexicali.gob.mx/sitioimip/geovisor/geovisor/?url=act-terr&access_token=
INEGI: Marco Geoestadítico (SIP layer)",,ER: Could this one be part of a composite index with distance to fire station (69)?,Safety,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_police_station
218,Co-location of recreational areas with public transport,Social Infrastructure,"Community, Culture & Leisure",Recreational areas,Public transport,Proximity,"Proximity to diverse transportation options ensures inclusive regional accessibility, allowing a wider demographic to benefit from recreational and social infrastructure.","Project for Public Space, 2016, 'What Makes a Successful Place?'; CABE and DETR, 2001, 'The value of urban design'",Visit frequency: High satisfaction with transportation proximity (mean = 4.03) is linked to the overall visit frequency correlation (rho = 0.310).,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",15,,['Likert scale'],OSM/ DENUE/IMIP,,ER: This one can be part of another composite indicator of either public transport or public open spaces,Social Infrastructure,proximity; accessibility; quantity; density; quality,,WP01_ghsci_access_network,co_location_of_recreational_areas_with_public_transport
225,Access to recreational areas,Social Infrastructure,"Community, Culture & Leisure",Recreational areas,Recreational areas,Proximity,"Easy access to recreational facilities emphasizes the provision of spaces that offer pleasure and physical comfort, improving the overall livability of urban environments.","Basu et al., 2021, 'Urban Livability Index Assessment Based on Land-Use Changes in an Indian Medium-Sized City (Raiganj)'; Fu et al., 2019, 'The Livable Urban Landscape: GIS and Remote Sensing Extracted Land Use Assessment for Urban Livability in Changchun Proper, China'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",18,,['Analytic Hierarchy Process (AHP)'],OSM/ DENUE/IMIP,,,Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_recreational_areas
257,Access to sports centres,Social Infrastructure,"Community, Culture & Leisure",Recreational areas,Sports centres,Quantity,"The provision of sport centres is critical for promoting physical activity, which reduces the risk of chronic diseases and improves mental health outcome.","Lowe et al., 2015, 'Planning healthy, liveable and sustainable cities: how can indicators inform policy?'; Sachs et al., 2019, 'Six transformations to achieve the sustainable development goals'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",13; 16; 20,,"13: ['Identification of measurable spatial indicators, how they can me calculated and monitored']
16: ['Exploratory Factor Analysis', 'Standard Deviational Ellipse,', 'Hot Spot Analysis,', 'Network Analysis']",OSM/ DENUE/IMIP,,,Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_sports_centres
96,Access to hawker/stall,Built Environment,Urban Design,Streetscape,Hawker/stall,Quantity,Regulating permitted locations for sidewalk hawkers ensures local food access and livelihood security while managing urban street safety and hygiene.,"Alderton et al., 2019, 'What is the meaning of urban liveability for a city in a low-to-middle-income country? Contextualising liveability for Bangkok, Thailand'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",13,,"['Identification of measurable spatial indicators, how they can me calculated and monitored']",Inventario Nacional de Vivienda,,"ER: We have available data on if there are fixed or semi-fixed stalls present but we can't know if these have a permit or not.  CH: I think lets not take it too literally -- street food/hawkers are part of a vibrant food environment, let's measure this (the permitted thing if this was from Bangkok mattered to them because they are the metropolitan administration; may have some relevance to public health but lets not make it a barrier to measuring street food)",Built Environment,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_hawker_stall
26,Access to buses: stops,Mobility & Transport,Public Transport,Transport Stops,Buses: Stops,Density,"Proximity to bus stops improves accessibility to city facilities and services, acting as a major engine of urban growth and resident liveability.","Higgs et al., 2019, 'The Urban Liveability Index: developing a policy-relevant urban liveability composite measure and evaluating associations with transport mode choice'; Suptelo & Sehida, 2020, 'Factors of Post-Industrial Transformations of Urban Sociogeosystems (Case Kharkiv)'",Transportation accessibility: association reported; no individual effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",5,,"['Supervised classification in Erdas Imagine Software.', 'regression']",IMIP: https://www.mexicali.gob.mx/sitioimip/geovisor/geovisor/?url=pimus&access_token=,,,Mobility & Transport,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_buses_stops
223,Access to public transport,Mobility & Transport,Public Transport,Transport Stops; Transport Routes,Public transport,Accessibility,"Extensive public transit coverage ensures equitable access to city-wide opportunities and services, reducing health inequities related to mobility.","Kashef, 2016, 'Urban liveability across disciplinary and professional boundaries'; Cervero, 2009, 'Transport infrastructure and global competitiveness'; Bassolas et al., 2019, 'Hierarchical organization of urban mobility and its connection with city liveability'; Vuchic, 2017, 'Transportation for Livable Cities'",Compliance rate: 85.7% of evaluated liveability indices in the studied communities were related to public transport and green space availability.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",27,,,IMIP: https://www.mexicali.gob.mx/sitioimip/geovisor/geovisor/?url=pimus&access_token=,,,Mobility & Transport,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_public_transport
3,Access to activity centres,Social Infrastructure,"Community, Culture & Leisure",Walkability,Activity centres,Proximity,Proximity to healthcare and grocery stores ensures that residents can easily manage their health and maintain a nutritious daily diet.,"Almashhour & Samara, 2022, 'Evaluating Liveability Perceptions'; Zhu et al., 2020, 'Assessing community-level liveability using combined remote sensing and internet-based big geospatial data'; Gough, 2015, 'Reconciling liveability and sustainability'; Zanella et al., 2015, 'The assessment of cities' liveability integrating human wellbeing and environmental impact'; Benita et al., 2021, 'A spatial liveability index for dense urban centers'",Proximity target: All essential amenities and recreational facilities in the proposed design are located within a 15-minute walk.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",27,,,OSM/ DENUE/IMIP,This indicator has multiple amenities from different domains,ER: This indicator can also be part of the built environment domain / Walkability; CH: I think this means we include it then?,Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_activity_centres
38,Access to city center,Built Environment,Urban Morphology,Walkability,City center,Proximity,"Areas closer to the city center offer easy access to a variety of facilities such as employment, shopping, and entertainment, making them highly livable from a convenience perspective.","Basu et al., 2021, 'Urban Livability Index Assessment Based on Land-Use Changes in an Indian Medium-Sized City (Raiganj)'; Onnom et al., 2018, 'Development of a Liveable City Index (LCI) Using Multi Criteria Geospatial Modelling for Medium Class Cities in Developing Countries'; Fu et al., 2019, 'The Livable Urban Landscape: GIS and Remote Sensing Extracted Land Use Assessment for Urban Livability in Changchun Proper, China'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",18,,['Analytic Hierarchy Process (AHP)'],,,,Built Environment,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_city_center
125,Access to major road,Built Environment,Urban Morphology,Walkability,Major road,Proximity,Major roads are a source of air and noise pollution associated with negative health impacts,"Zhan et al., 2018, 'Assessment and Determinants of Satisfaction with Urban Livability in China'; Tao et al., 2015, 'Housing Choices of Migrant Workers in China: Beyond the Hukou Perspective'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",18,,['Analytic Hierarchy Process (AHP)'],,,,Built Environment,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_major_road
126,Access to major road intersection,Built Environment,Urban Morphology,Walkability,Major road intersection,Proximity,"Living further from major road intersections reduces the risk of traffic accidents and fire incident risks, thereby fostering a safer and more stable residential environment.","Basu et al., 2021, 'Urban Livability Index Assessment Based on Land-Use Changes in an Indian Medium-Sized City (Raiganj)'; Onnom et al., 2018, 'Development of a Liveable City Index (LCI) Using Multi Criteria Geospatial Modelling for Medium Class Cities in Developing Countries'; Fu et al., 2019, 'The Livable Urban Landscape: GIS and Remote Sensing Extracted Land Use Assessment for Urban Livability in Changchun Proper, China'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",18,,['Analytic Hierarchy Process (AHP)'],,,,Built Environment,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_major_road_intersection
180,Access to schools: primary,Social Infrastructure,Education,Walkability,Schools: Primary,Proximity,Close proximity to primary schools supports family-oriented livability by facilitating easy and convenient access to essential basic education for young residents.,"Onnom et al., 2018, 'Development of a Liveable City Index (LCI) Using Multi Criteria Geospatial Modelling for Medium Class Cities in Developing Countries'; Fu et al., 2019, 'The Livable Urban Landscape: GIS and Remote Sensing Extracted Land Use Assessment for Urban Livability in Changchun Proper, China'; Liu et al., 2020, 'Using Multi-Source Data to Assess Livability in Hong Kong at the Community-Based Level: A Combined Subjective-Objective Approach'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",18,,['Analytic Hierarchy Process (AHP)'],OSM/ DENUE/IMIP,,,Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_schools_primary
